1 ID:-1 Name:'ActionTableStandin' ContextID:-1 ContextName:'undefined' NumActionItems:6
	1 ID:26727 Desc:'Missing: 0' Cat:'Missing: 0' BtnTxt:'Missing: 0' MnuTxt:'Missing: 0'
	2 ID:26727 Desc:'Missing: 1' Cat:'Missing: 1' BtnTxt:'Missing: 1' MnuTxt:'Missing: 1'
	3 ID:26727 Desc:'Missing: 2' Cat:'Missing: 2' BtnTxt:'Missing: 2' MnuTxt:'Missing: 2'
	4 ID:26727 Desc:'Missing: 0' Cat:'Missing: 0' BtnTxt:'Missing: 0' MnuTxt:'Missing: 0'
	5 ID:26727 Desc:'Missing: 1' Cat:'Missing: 1' BtnTxt:'Missing: 1' MnuTxt:'Missing: 1'
	6 ID:26727 Desc:'Missing: 2' Cat:'Missing: 2' BtnTxt:'Missing: 2' MnuTxt:'Missing: 2'
2 ID:1259304063 Name:'Snaps Action Table' ContextID:0 ContextName:'Main UI' NumActionItems:28
	1 ID:50057 Desc:'Snap To Vertex Toggle' Cat:'Snaps - Body Snaps' BtnTxt:'Vertex' MnuTxt:'Vertex'
	2 ID:50058 Desc:'Snap To End Edge Toggle' Cat:'Snaps - Body Snaps' BtnTxt:'End Edge' MnuTxt:'End Edge'
	3 ID:50059 Desc:'Snap To Edge Toggle' Cat:'Snaps - Body Snaps' BtnTxt:'Edge' MnuTxt:'Edge'
	4 ID:50060 Desc:'Snap To Edge Midpoint Toggle' Cat:'Snaps - Body Snaps' BtnTxt:'Edge Midpoint' MnuTxt:'Edge Midpoint'
	5 ID:50061 Desc:'Snap To Face Toggle' Cat:'Snaps - Body Snaps' BtnTxt:'Face' MnuTxt:'Face'
	6 ID:50062 Desc:'Snap To CV Toggle' Cat:'Snaps - NURBS' BtnTxt:'CV' MnuTxt:'CV'
	7 ID:50063 Desc:'Snap To Point Toggle' Cat:'Snaps - NURBS' BtnTxt:'Point' MnuTxt:'Point'
	8 ID:50064 Desc:'Snap To Curve Center Toggle' Cat:'Snaps - NURBS' BtnTxt:'Curve Center' MnuTxt:'Curve Center'
	9 ID:50065 Desc:'Snap To Curve Normal Toggle' Cat:'Snaps - NURBS' BtnTxt:'Curve Normal' MnuTxt:'Curve Normal'
	10 ID:50066 Desc:'Snap To Curve Tangent Toggle' Cat:'Snaps - NURBS' BtnTxt:'Curve Tangent' MnuTxt:'Curve Tangent'
	11 ID:50067 Desc:'Snap To Curve Edge Toggle' Cat:'Snaps - NURBS' BtnTxt:'Curve Edge' MnuTxt:'Curve Edge'
	12 ID:50068 Desc:'Snap To Curve End Toggle' Cat:'Snaps - NURBS' BtnTxt:'Curve End' MnuTxt:'Curve End'
	13 ID:50069 Desc:'Snap To Surf Center Toggle' Cat:'Snaps - NURBS' BtnTxt:'Surf Center' MnuTxt:'Surf Center'
	14 ID:50070 Desc:'Snap To Surf Normal Toggle' Cat:'Snaps - NURBS' BtnTxt:'Surf Normal' MnuTxt:'Surf Normal'
	15 ID:50071 Desc:'Snap To Surf Edge Toggle' Cat:'Snaps - NURBS' BtnTxt:'Surf Edge' MnuTxt:'Surf Edge'
	16 ID:50072 Desc:'Snap To Point Cloud Vertex Toggle' Cat:'Snaps - Point Cloud Objects' BtnTxt:'Point Cloud Vertex' MnuTxt:'Point Cloud Vertex'
	17 ID:80000 Desc:'Snap To Grid Points Toggle' Cat:'Snaps - Standard' BtnTxt:'Grid Points' MnuTxt:'Grid Points'
	18 ID:50074 Desc:'Snap To Grid Lines Toggle' Cat:'Snaps - Standard' BtnTxt:'Grid Lines' MnuTxt:'Grid Lines'
	19 ID:80001 Desc:'Snap To Pivot Toggle' Cat:'Snaps - Standard' BtnTxt:'Pivot' MnuTxt:'Pivot'
	20 ID:50076 Desc:'Snap To Bounding Box Toggle' Cat:'Snaps - Standard' BtnTxt:'Bounding Box' MnuTxt:'Bounding Box'
	21 ID:50077 Desc:'Snap To Perpendicular Toggle' Cat:'Snaps - Standard' BtnTxt:'Perpendicular' MnuTxt:'Perpendicular'
	22 ID:50078 Desc:'Snap To Tangent Toggle' Cat:'Snaps - Standard' BtnTxt:'Tangent' MnuTxt:'Tangent'
	23 ID:80002 Desc:'Snap To Vertex Toggle' Cat:'Snaps - Standard' BtnTxt:'Vertex' MnuTxt:'Vertex'
	24 ID:80003 Desc:'Snap To Endpoint Toggle' Cat:'Snaps - Standard' BtnTxt:'Endpoint' MnuTxt:'Endpoint'
	25 ID:80005 Desc:'Snap To Edge/Segment Toggle' Cat:'Snaps - Standard' BtnTxt:'Edge/Segment' MnuTxt:'Edge/Segment'
	26 ID:80004 Desc:'Snap To Midpoint Toggle' Cat:'Snaps - Standard' BtnTxt:'Midpoint' MnuTxt:'Midpoint'
	27 ID:80006 Desc:'Snap To Face Toggle' Cat:'Snaps - Standard' BtnTxt:'Face' MnuTxt:'Face'
	28 ID:50084 Desc:'Snap To Center Face Toggle' Cat:'Snaps - Standard' BtnTxt:'Center Face' MnuTxt:'Center Face'
3 ID:-1159893849 Name:'Render' ContextID:0 ContextName:'Main UI' NumActionItems:1
	1 ID:36864 Desc:'Render Message Window Toggle' Cat:'Render' BtnTxt:'Render Message Window...' MnuTxt:'Render Message Window...'
4 ID:1724956863 Name:'Asset Tracking System' ContextID:0 ContextName:'Main UI' NumActionItems:2
	1 ID:0 Desc:'Generate Proxies' Cat:'Asset Tracking System' BtnTxt:'Generate Proxies' MnuTxt:'Generate Stale Proxies'
	2 ID:1 Desc:'Set Proxy Resolution...' Cat:'Asset Tracking System' BtnTxt:'Set Proxy Resolution...' MnuTxt:'Set Proxy Resolution...'
5 ID:161818329 Name:'FixAmbientActions' ContextID:2 ContextName:'Material Editor' NumActionItems:2
	1 ID:1 Desc:'Fix Ambient All' Cat:'Utilities' BtnTxt:'Fix Ambient All' MnuTxt:'Fix Ambient All'
	2 ID:2 Desc:'Fix Ambient Selected' Cat:'Utilities' BtnTxt:'Fix Ambient Selected' MnuTxt:'Fix Ambient Selected'
6 ID:132537306 Name:'MMCleanActions' ContextID:2 ContextName:'Material Editor' NumActionItems:1
	1 ID:1 Desc:'Clean  MultiMaterial' Cat:'Utilities' BtnTxt:'Clean  MultiMaterial' MnuTxt:'Clean MultiMaterial...'
7 ID:4745576 Name:'InstanceDuplMapActions' ContextID:2 ContextName:'Material Editor' NumActionItems:1
	1 ID:1 Desc:'Instance Duplicate Map' Cat:'Utilities' BtnTxt:'Instance Duplicate Map' MnuTxt:'Instance Duplicate Map...'
8 ID:-1682387772 Name:'Scene State Manager' ContextID:0 ContextName:'Main UI' NumActionItems:3
	1 ID:4096 Desc:'Save Scene State' Cat:'Scene State' BtnTxt:'Save Scene State...' MnuTxt:'Save Scene State...'
	2 ID:4112 Desc:'Scene State Manager Dialog Toggle' Cat:'Scene State' BtnTxt:'Manage Scene States...' MnuTxt:'Manage Scene States...'
	3 ID:8192 Desc:'Restore Scene State' Cat:'Scene State' BtnTxt:'Restore Scene State' MnuTxt:'Restore Scene State'
9 ID:2071557443 Name:'SharedViews' ContextID:0 ContextName:'Main UI' NumActionItems:2
	1 ID:0 Desc:'Share View...' Cat:'SharedViews' BtnTxt:'Share View...' MnuTxt:'Share View...'
	2 ID:1 Desc:'Show Shared Views Panel' Cat:'SharedViews' BtnTxt:'Show Shared Views Panel' MnuTxt:'Show Shared Views Panel'
10 ID:-1172021248 Name:'Containers' ContextID:0 ContextName:'Main UI' NumActionItems:17
	1 ID:0 Desc:'Inherit Container' Cat:'Containers' BtnTxt:'Inherit Container' MnuTxt:'Inherit Container' Icon:[InheritContainer,0] 
	2 ID:1 Desc:'Create Container from Selection' Cat:'Containers' BtnTxt:'Create Container from Selection' MnuTxt:'Create Container from Selection' Icon:[CreateContainerFromSelection,0] 
	3 ID:2 Desc:'Add Selected to Container' Cat:'Containers' BtnTxt:'Add Selected to Container' MnuTxt:'Add Selected to Container' Icon:[AddSelectedToContainer,0] 
	4 ID:3 Desc:'Remove Selected from Container' Cat:'Containers' BtnTxt:'Remove Selected from Container' MnuTxt:'Remove Selected from Container' Icon:[RemoveSelectedFromContainer,0] 
	5 ID:4 Desc:'Unload Container' Cat:'Containers' BtnTxt:'Unload Container' MnuTxt:'Unload Container' Icon:[UnloadContainer,0] 
	6 ID:5 Desc:'Load Container' Cat:'Containers' BtnTxt:'Load Container' MnuTxt:'Load Container' Icon:[LoadContainer,0] 
	7 ID:6 Desc:'Close Container' Cat:'Containers' BtnTxt:'Close Container' MnuTxt:'Close Container' Icon:[CloseContainer,0] 
	8 ID:7 Desc:'Open Container' Cat:'Containers' BtnTxt:'Open Container' MnuTxt:'Open Container' Icon:[OpenContainer,0] 
	9 ID:8 Desc:'Save Container' Cat:'Containers' BtnTxt:'Save Container' MnuTxt:'Save Container' Icon:[SaveContainer,0] 
	10 ID:9 Desc:'Update Container' Cat:'Containers' BtnTxt:'Update Container' MnuTxt:'Update Container' Icon:[UpdateContainer,0] 
	11 ID:10 Desc:'Reload Container' Cat:'Containers' BtnTxt:'Reload Container' MnuTxt:'Reload Container' Icon:[ReloadContainer,0] 
	12 ID:11 Desc:'Make All Content Unique' Cat:'Containers' BtnTxt:'Make All Content Unique' MnuTxt:'Make All Content Unique' Icon:[MakeAllContentUnique,0] 
	13 ID:12 Desc:'Merge Container Source' Cat:'Containers' BtnTxt:'Merge Container Source' MnuTxt:'Merge Container Source' Icon:[MergeContainerSource,0] 
	14 ID:13 Desc:'Edit Container' Cat:'Containers' BtnTxt:'Edit Container' MnuTxt:'Edit Container' Icon:[EditContainer,0] 
	15 ID:14 Desc:'Override Object Properties' Cat:'Containers' BtnTxt:'Override Object Properties' MnuTxt:'Override Object Properties' Icon:[OverrideObjectProperties,0] 
	16 ID:15 Desc:'Select Content's Container' Cat:'Containers' BtnTxt:'Select Content's Container' MnuTxt:'Select Content's Container' Icon:[SelectContent'sContainer,0] 
	17 ID:16 Desc:'Override All Locks' Cat:'Containers' BtnTxt:'Override All Locks' MnuTxt:'Override All Locks' Icon:[Lock,0] 
11 ID:888304868 Name:'NURBS' ContextID:888304868 ContextName:'NURBS' NumActionItems:95
	1 ID:30012 Desc:'Display Curves' Cat:'NURBS Surfaces' BtnTxt:'Display Curves' MnuTxt:'Display Curves'
	2 ID:30002 Desc:'Display Dependents' Cat:'NURBS Surfaces' BtnTxt:'Display Dependents' MnuTxt:'Display Dependents'
	3 ID:30003 Desc:'Display Lattices' Cat:'NURBS Surfaces' BtnTxt:'Display Lattices' MnuTxt:'Display Lattices'
	4 ID:30027 Desc:'Display Shaded Lattice' Cat:'NURBS Surfaces' BtnTxt:'Display Shaded Lattice' MnuTxt:'Display Shaded Lattice'
	5 ID:30011 Desc:'Display Surfaces' Cat:'NURBS Surfaces' BtnTxt:'Display Surfaces' MnuTxt:'Display Surfaces'
	6 ID:30008 Desc:'Display Toolbox' Cat:'NURBS Surfaces' BtnTxt:'Display Toolbox' MnuTxt:'Display Toolbox'
	7 ID:30017 Desc:'Display Trims' Cat:'NURBS Surfaces' BtnTxt:'Display Trims' MnuTxt:'Display Trims'
	8 ID:30014 Desc:'Transform Degrade' Cat:'NURBS Surfaces' BtnTxt:'Transform Degrade' MnuTxt:'Transform Degrade'
	9 ID:30016 Desc:'Local Select Sub-Object By Name' Cat:'NURBS Surfaces' BtnTxt:'Local Select Sub-Object By Name' MnuTxt:'Local Select Sub-Object By Name'
